,id,created_at,story,original_url,retweeted_status_id,quoted_status_id,in_reply_to_status_id,partisan_lean
7101,1333953432416292865,2020-12-02 01:57:36+00,tech: Hammer and Scorecard,,1.329525675666051e+18,,,right
7102,1333952928030273536,2020-12-02 01:55:36+00,tech: Hammer and Scorecard,,1.3338787196608225e+18,,,right
7103,1334126082417684486,2020-12-02 13:23:39+00,tech: Hammer and Scorecard,https://odysee.com/@sarahwestall:0/General-McInerny:3,1.333957059520426e+18,,,right
7104,1333953664726142978,2020-12-02 01:58:31+00,tech: Hammer and Scorecard,,1.333904825759789e+18,,,right
7105,1334125800640053249,2020-12-02 13:22:32+00,tech: Hammer and Scorecard,https://odysee.com/@sarahwestall:0/General-McInerny:3,1.333957059520426e+18,,,right
7106,1334202596144402433,2020-12-02 18:27:41+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
7107,1334200981953728512,2020-12-02 18:21:17+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
7108,1334201311273730048,2020-12-02 18:22:35+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
7109,1334202029363773440,2020-12-02 18:25:26+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
7110,1334201887306944516,2020-12-02 18:24:52+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,,1.3342008577144463e+18,,right
7111,1334201020063346690,2020-12-02 18:21:26+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
7112,1334202583523749890,2020-12-02 18:27:38+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
7113,1333927618547245056,2020-12-02 00:15:02+00,tech: Hammer and Scorecard,https://www.armytimes.com/news/your-army/2020/12/01/this-retired-three-star-falsely-claims-us-soldiers-died-attacking-a-cia-facility-in-germany-tied-to-election-fraud/#.X8bAsp83Txd.twitter,1.3338978163396076e+18,,,left
7114,1334252233895108617,2020-12-02 21:44:56+00,tech: Hammer and Scorecard,https://www.wnd.com/2020/12/treasonous-enemies-within-3-star-general-pushes-trump-use-emergency-powers/,1.3340245206598246e+18,,,right
7115,1334239258219986945,2020-12-02 20:53:22+00,tech: Hammer and Scorecard,,1.3341882791645266e+18,1.3331428162691113e+18,,right
7116,1334240613382778881,2020-12-02 20:58:45+00,tech: Hammer and Scorecard,,1.3341882791645266e+18,1.3331428162691113e+18,,right
7117,1334252422210887680,2020-12-02 21:45:41+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&t=6s,1.3342075919084012e+18,,,right
7118,1334149597032108032,2020-12-02 14:57:05+00,tech: Hammer and Scorecard,https://justthenews.com/politics-policy/elections/whistleblowers-allege-thousands-vanished-ballots-allegations-backdating?amp&__twitter_impression=true,,1.3340100323550372e+18,,right
7119,1334113625750040577,2020-12-02 12:34:09+00,tech: Hammer and Scorecard,https://www.wnd.com/2020/12/treasonous-enemies-within-3-star-general-pushes-trump-use-emergency-powers/,1.3340401133288735e+18,,,right
7120,1334113565943349248,2020-12-02 12:33:55+00,tech: Hammer and Scorecard,,1.3338787196608225e+18,,,right
7121,1334113316478840833,2020-12-02 12:32:55+00,tech: Hammer and Scorecard,https://www.wnd.com/2020/12/treasonous-enemies-within-3-star-general-pushes-trump-use-emergency-powers/,1.3340401133288735e+18,,,right
7122,1333990466195484677,2020-12-02 04:24:46+00,tech: Hammer and Scorecard,,1.3338787196608225e+18,,,right
7123,1333928142591975424,2020-12-02 00:17:07+00,tech: Hammer and Scorecard,https://threadreaderapp.com/thread/1329525675666051073.html,,1.3305686790006006e+18,,right
7124,1334005913880059905,2020-12-02 05:26:09+00,tech: Hammer and Scorecard,https://theamericanreport.org/2020/11/27/the-kraken-revealed-proves-domestic-traitors-and-foreign-enemies-attempted-to-steal-americas-election/,,1.333879489860866e+18,,right
7125,1333979618546647040,2020-12-02 03:41:39+00,tech: Hammer and Scorecard,,1.3338787196608225e+18,,,right
7126,1333979974055854081,2020-12-02 03:43:04+00,tech: Hammer and Scorecard,,,1.3338734695163576e+18,,right
7127,1334006459252813824,2020-12-02 05:28:19+00,tech: Hammer and Scorecard,,1.3339984762674504e+18,1.3339174477123707e+18,,right
7128,1334201529188962304,2020-12-02 18:23:27+00,tech: Hammer and Scorecard,,1.3341829063070884e+18,,,right
7129,1334200762684071943,2020-12-02 18:20:24+00,tech: Hammer and Scorecard,https://www.militarytimes.com/news/your-army/2020/12/01/this-retired-three-star-falsely-claims-us-soldiers-died-attacking-a-cia-facility-in-germany-tied-to-election-fraud/,1.3341249080460698e+18,,,right
